Active_Power,Wind_Speed,Weather_Temperature_Celsius,Global_Horizontal_Radiation,Max_Wind_Speed,Pyranometer_1,Temperature_Probe_1,Temperature_Probe_2,Active_Energy_Received
211.95527648926,4.210000038147,31.409999847412,911.31634521484,7.5999999046326,879.68731689453,59.69942855835,61.237117767334,17.65625
156.51669311523,3.0966665744781,30.956666946411,684.24670410156,5.1999998092651,651.13995361328,55.60131072998,56.156883239746,13.03125
262.31494140625,2.4266667366028,31.569999694824,1166.8392333984,5.5,1124.6728515625,62.204853057861,62.602523803711,21.875
222.0470123291,2.0999999046326,32.326667785645,882.23791503906,4.5,862.06213378906,67.941665649414,68.238059997559,18.53125
261.40963745117,3.0699999332428,32.569999694824,873.19018554688,6.0,843.97375488281,61.50972366333,62.720359802246,21.71875
163.46907043457,3.6266665458679,32.873332977295,1087.1346435547,10.300000190735,1044.3629150391,67.998405456543,69.751350402832,13.625
228.37875366211,2.1300001144409,32.916667938232,1329.9510498047,4.0,1278.7414550781,63.426975250244,65.383323669434,19.03125
225.35777282715,3.6566667556763,33.133331298828,844.52612304688,7.0,821.40258789062,60.14054107666,61.830123901367,18.78125
261.67465209961,3.4066667556763,33.119998931885,690.19342041016,6.1999998092651,684.99951171875,57.781414031982,60.054462432861,21.78125
299.01885986328,4.4133334159851,33.843334197998,1340.3979492188,9.3999996185303,1303.2584228516,63.051292419434,64.55052947998,24.90625
289.63146972656,2.3799998760223,34.066665649414,1058.16796875,5.5,1027.744140625,61.215072631836,62.814342498779,24.125
196.44735717773,3.1366667747498,34.236667633057,811.64233398438,6.8000001907349,798.71905517578,64.032470703125,64.753524780273,16.375
194.95063781738,3.5333333015442,34.470001220703,1077.8416748047,7.3000001907349,1050.2257080078,63.314800262451,64.403869628906,16.25
259.22952270508,4.9733333587646,34.240001678467,787.34173583984,8.3999996185303,754.12573242188,59.308162689209,60.364250183105,21.59375
236.28874206543,3.8733332157135,34.563331604004,968.3720703125,7.4000000953674,941.43353271484,60.775619506836,61.796920776367,19.6875
193.65129089355,3.5933332443237,33.943332672119,585.31512451172,7.3000001907349,573.43988037109,58.140628814697,58.805858612061,16.125
116.53337860107,3.8666665554047,34.0,651.90637207031,7.4000000953674,625.07757568359,57.480674743652,57.746925354004,9.71875
237.74507141113,3.7799999713898,33.950000762939,947.46276855469,6.6999998092651,896.75103759766,56.144927978516,56.571933746338,19.78125
142.11360168457,3.4966666698456,33.856666564941,418.03973388672,7.0999999046326,390.24575805664,54.664646148682,55.481418609619,11.84375
171.92961120605,3.6300001144409,34.090000152588,741.03601074219,7.5999999046326,684.92413330078,56.087760925293,56.334098815918,14.34375
57.612209320068,3.7599999904633,33.830001831055,350.33184814453,7.6999998092651,325.17462158203,53.788105010986,54.080589294434,4.8125
68.293830871582,2.7799999713898,33.173332214355,237.55604553223,5.1999998092651,231.77540588379,49.410049438477,49.341197967529,5.6875
95.282089233398,3.3066666126251,33.446666717529,462.83438110352,6.5,424.33029174805,50.808967590332,50.682495117188,7.9375
92.220695495605,2.8199999332428,33.526664733887,326.64904785156,5.3000001907349,297.77380371094,50.525737762451,50.566581726074,7.6875
59.954139709473,3.2666666507721,33.486667633057,267.51654052734,5.3000001907349,237.55868530273,49.510112762451,49.666934967041,5.0
30.241918563843,3.5533332824707,33.099998474121,132.56039428711,6.3000001907349,119.80816650391,47.583671569824,47.749580383301,2.53125
16.29195022583,3.1199998855591,32.770000457764,74.182945251465,7.0,66.33283996582,46.26114654541,46.247543334961,1.34375
16.550043106079,3.0666666030884,23.89999961853,57.434276580811,5.0999999046326,53.185401916504,40.067764282227,39.958019256592,1.375
24.456289291382,3.3866667747498,24.130001068115,83.049697875977,6.1999998092651,78.234748840332,40.380340576172,40.285839080811,2.03125
